name,description,price,category
Morning Sunrise Blend,Smooth and balanced medium roast perfect for your first cup.,14.99,House Blends
Midnight Dark Roast,Rich dark roast with notes of chocolate and toasted nuts.,16.50,House Blends
Colombian Single Origin,Bright and fruity with caramel sweetness.,18.25,Single Origin
Ethiopian Yirgacheffe,Floral and citrusy with a tea-like body.,19.75,Single Origin
Swiss Water Decaf,Decaffeinated using the Swiss water process for a clean cup.,15.99,Decaf
Half-Caf Blend,Perfect mix of regular and decaf beans.,16.25,Decaf
Postal Coffee Mug,12oz ceramic mug with Postal Coffee logo.,12.00,Gear
Enamel Camp Mug,Durable enamel mug ideal for camping trips.,14.00,Gear
French Press Brewer,Classic 1L French press for full-bodied coffee.,32.00,Gear
Pour Over Dripper,Simple pour over cone for clean and bright cups.,24.00,Gear
